@relation 'ionosphere-weka.filters.unsupervised.attribute.Remove-V-R3,6,7,14,26,27'

@attribute a03 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a14 numeric
@attribute a26 numeric
@attribute a27 numeric

@data

0.99539,0.02306,0.83398,-0.44945,-0.51171,0.41078
1,-0.36156,-0.10868,-0.69707,-0.26569,-0.20468
1,0.00485,1,0.00827,-0.4022,0.58984
1,1,0.71216,0,0.90695,0.51613
1,0.06531,0.92106,-0.00712,-0.65158,0.1329
0.02337,-0.11949,-0.00763,0,-0.01535,-0.0324
0.97588,-0.208,0.92806,-0.50764,-0.81634,0.13659
0,0,1,0,1,1
0.96355,-0.14333,1,-0.40668,-0.6544,0.57577
-0.01864,0,0,0,-0.01326,0.20645
1,-0.18388,1,-0.51874,-0.89128,0.47211
1,-1,1,1,-0.40888,1
1,-0.10169,0.99999,-0.29785,-0.47137,0.76224
1,0.2228,0.85492,0.07772,-0.17012,1
1,0.0342,1,0.20328,0.20033,1
0.50932,0.26708,-0.0352,0,0.92236,0.39752
0.99645,-0.01236,0.97811,0.10346,0.13412,0.79476
0,-1,1,-1,1,1
0.67065,0.05031,0.57197,0.14285,0.23724,0.46167
1,0,0,1,1,1
1,-0.09834,1,-0.39489,-0.40372,0.82681
1,0,0,0,0,1
0.96071,0.04296,1,-0.06142,-0.07705,0.58051
-1,0,0,0,-1,1
1,0.02942,1,-0.05202,-0.34838,0.72529
1,-1,1,-1,-1,1
1,-0.17263,0.86635,-0.31736,-0.82868,0.48136
-1,0,-1,0,-1,-1
1,0.17387,1,0.59113,1,0.83899
-1,1,1,-1,1,1
1,-0.16256,1,-0.26161,-0.47643,0.9882
1,1,1,-0.0184,0,1
0.88208,-0.11057,0.921,-0.31463,-0.48086,0.56804
0.71253,-0.23067,0.98019,1,-0.20392,0.93124
1,0.27686,0.83443,-0.12527,0.14803,1
0.66161,1,1,-0.89375,0.85357,1
1,-0.01209,1,-0.06544,-0.20851,0.89067
1,-1,0,0,-1,1
0.91241,0.0228,0.94705,0.12067,0.11299,0.7355
1,0.04861,0.97545,0.5364,0.1639,0.48867
1,0.20746,1,0.50082,0.72082,0.27712
-1,1,1,1,-1,1
0.90932,0.16888,1,0.42739,0.56527,0.18626
-0.64286,0.82857,1,-0.37679,0.85714,1
0.99025,-0.13009,0.98663,-0.37965,-0.68479,0.65247
0,0,0,0,-1,-1
1,-0.07383,0.99601,-0.21695,-0.4299,0.83172
0.94598,0.26131,-0.36393,-0.0055,-0.46734,0.52208
0.98166,-0.03818,0.97565,-0.11102,-0.19689,0.81813
0,0.51724,0,0,0.44828,1
0.84134,0.02919,0.93421,0.54991,-0.02778,0.93358
1,-1,0,1,-1,1
1,1,0.9101,1,-1,1
-0.67935,1,1,1,1,1
0.95659,-0.05667,0.97165,-0.16795,-0.40747,0.87244
0.08333,1,-1,-1,0.2381,1
1,-0.04494,1,-0.12738,-0.92284,0.8728
-1,-1,-1,-0.1875,-1,1
1,0.07418,0.99952,0.14644,0.22431,0.88423
0.17188,1,0,0,0.9625,1
1,0.12197,1,0.24288,0.34658,0.68452
0.01667,0,0,0,-0.16667,1
1,0.16334,0.94616,0.46899,0.55236,0.43317
0.63816,-1,1,0.58772,-1,1
1,0.76131,0.8706,-0.1608,0.10678,0.9289
0.84783,0.3913,1,0.60598,-0.33333,1
1,0.02477,1,0.05489,-0.39056,0.96414
1,-1,1,1,-1,1
1,0.82021,0.43019,0.77092,-1,0.41778
1,-1,1,1,1,1
1,0.18281,1,0.38643,0.68326,0.89502
1,1,-1,0,-1,1
0.96087,0.19279,0.96026,0.52517,0.74689,0.33401
0.69444,0,-0.32937,0,0.27381,0.7619
1,0.10827,1,0.38261,0.63942,0.59417
1,0,1,1,-1,1
1,0.11982,1,0.37639,0.59723,0.58903
1,-1,1,1,-1,1
1,0.4859,1,1,1,0.38255
1,-1,1,1,-1,1
1,0.62937,1,-0.40559,-0.58042,1
1,1,1,-1,-1,1
0.92277,0.16251,0.89702,0.46983,0.76146,0.18765
0.68198,0.21908,0.46643,0.44523,0.19405,-0.04314
0.74852,-0.05178,0.80621,0.0784,0.02811,0.61009
0.39179,0.04328,1,-0.8209,0.16418,0.49309
0.67547,-0.10566,0.77358,-0.13962,-0.15094,0.73886
0.72727,0.03462,1,0.09559,0.32727,0.56982
0.57647,0,0.38431,0.08235,0.00392,0.48601
0.41932,0.125,0.23182,0.33636,-0.04802,-0.09971
0.88305,0.36373,0.82403,0.25,0.52039,0.69811
0.84557,-0.80553,-0.08961,0.63966,-0.03718,0.70882
0.7087,0.04348,0.45217,-0.23043,-0.12174,0.4993
-0.5418,0.73375,0.52012,0.08978,0.65635,0.41348
0.29202,0.16808,0.51783,-0.04754,-0.03176,0.50369
0.79157,0,0.56541,0.53215,0.8071,-0.34146
0.90116,0.37379,0.7299,0.87493,0.39951,-0.71844
